KEGG,gene_names
ko02020,PA0033
ko02020,PA0034
NA,PA0032
NA,PA0026
NA,PA0027
NA,PA0028
NA,PA0029
ko02010,PA0030
NA,PA0031
ko00260,PA0035
ko00260,PA0036
NA,PA0037
NA,PA0038
NA,PA0039
ko05133,PA0040
ko05133,PA0041
NA,PA0043
NA,PA0044
NA,PA0045
NA,PA0046
NA,PA0047
NA,PA0048
NA,PA0049
ko00250,PA0051
NA,PA0052
NA,PA0054
NA,PA0055
NA,PA0056
NA,PA0057
NA,PA0058
NA,PA0059
NA,PA0060
NA,PA0061
NA,PA0062
NA,PA0063
NA,PA0064
ko00630,PA0065
NA,PA0066
NA,PA0067
NA,PA0068
NA,PA0069
NA,PA0070
NA,PA0071
NA,PA0072
NA,PA0073
ko02025,PA0074
ko02025,PA0075
ko02025,PA0076
ko02025,PA0077
ko03070,PA0078
ko02025,PA0079
ko03070,PA0080
ko02025,PA0081
ko02025,PA0082
ko02025,PA0083
ko02025,PA0084
ko02025,PA0085
NA,PA0086
NA,PA0087
NA,PA0088
ko02025,PA0089
ko02025,PA0090
ko03070,PA0091
NA,PA0092
NA,PA0093
NA,PA0094
ko03070,PA0095
NA,PA0096
NA,PA0097
ko00061,PA0098
NA,PA0099
NA,PA0100
NA,PA0101
ko00910,PA0102
NA,PA0103
ko00190,PA0105
ko00190,PA0106
ko00190,PA0107
ko00190,PA0108
NA,PA0109
NA,PA0110
NA,PA0111
ko00190,PA0112
ko00190,PA0113
NA,PA0114
NA,PA0115
NA,PA0116
NA,PA0117
ko00626,PA0118
ko02020,PA0119
NA,PA0120
NA,PA0121
NA,PA0122
NA,PA0123
NA,PA0124
NA,PA0125
NA,PA0127
ko01120,PA0128
NA,PA0129
ko00280,PA0130
NA,PA0131
ko00280,PA0132
NA,PA0133
ko00230,PA0134
NA,PA0136
NA,PA0137
NA,PA0138
ko04214,PA0139
NA,PA0140
ko00190,PA0141
ko00270,PA0142
ko00230,PA0143
NA,PA0144
NA,PA0145
NA,PA0146
NA,PA0147
ko00230,PA0148
NA,PA0149
NA,PA0150
NA,PA0151
NA,PA0152
ko00362,PA0153
ko00362,PA0154
NA,PA0155
NA,PA0156
NA,PA0157
ko01501,PA0158
NA,PA0159
NA,PA0162
NA,PA0163
ko00430,PA0164
NA,PA0165
NA,PA0166
NA,PA0167
ko00240,PA0168
ko02025,PA0169
NA,PA0170
NA,PA0171
NA,PA0172
ko02020,PA0173
ko02030,PA0174
ko02020,PA0175
ko02020,PA0176
ko02020,PA0177
ko02020,PA0178
ko02020,PA0179
ko02020,PA0180
NA,PA0181
ko00061,PA0182
ko00140,PA0183
ko00920,PA0184
ko00920,PA0185
ko00920,PA0186
NA,PA0187
NA,PA0188
NA,PA0189
ko00740,PA0190
NA,PA0191
NA,PA0192
NA,PA0193
ko00430,PA0194
ko00760,PA0195
ko00760,PA0195.1
ko00760,PA0196
NA,PA0197
NA,PA0198
NA,PA0199
NA,PA0200
NA,PA0201
ko00330,PA0202
ko02010,PA0203
ko02010,PA0204
ko02010,PA0205
ko02010,PA0206
ko02026,PA0207
NA,PA0208
ko02020,PA0209
NA,PA0210
NA,PA0211
NA,PA0212
NA,PA0213
NA,PA0214
NA,PA0215
NA,PA0216
NA,PA0217
NA,PA0218
ko00330,PA0219
NA,PA0220
ko00330,PA0221
ko02024,PA0222
ko00261,PA0223
ko00051,PA0224
NA,PA0225
ko00643,PA0226
ko00643,PA0227
ko00071,PA0228
NA,PA0229
ko00362,PA0230
ko00362,PA0231
ko00362,PA0232
NA,PA0233
NA,PA0234
NA,PA0235
NA,PA0236
NA,PA0237
NA,PA0238
NA,PA0239
NA,PA0240
ko02020,PA0241
ko00130,PA0242
NA,PA0243
ko00400,PA0244
ko00400,PA0245
NA,PA0246
ko00360,PA0247
NA,PA0248
NA,PA0249
NA,PA0250
NA,PA0251
NA,PA0253
ko00130,PA0254
NA,PA0255
NA,PA0257
NA,PA0258
NA,PA0259
NA,PA0260
ko03070,PA0262
ko02025,PA0263
ko00250,PA0265
ko00250,PA0266
NA,PA0267
ko00300,PA0268
NA,PA0269
NA,PA0270
NA,PA0271
NA,PA0272
NA,PA0273
NA,PA0274
ko02020,PA0275
NA,PA0276
NA,PA0277
NA,PA0278
NA,PA0279
ko00920,PA0280
ko00920,PA0281
ko00920,PA0282
ko00920,PA0283
NA,PA0284
NA,PA0285
ko01040,PA0286
NA,PA0287
ko00330,PA0288
NA,PA0289
NA,PA0290
NA,PA0291
ko00330,PA0292
ko00330,PA0293
NA,PA0294
ko02010,PA0295
ko00220,PA0296
NA,PA0297
ko00220,PA0298
ko00330,PA0299
ko02010,PA0300
ko02010,PA0301
ko02010,PA0302
ko02010,PA0303
ko02010,PA0304
ko00311,PA0305
NA,PA0306
NA,PA0307
ko00564,PA0308
NA,PA0309
NA,PA0310
NA,PA0311
NA,PA0312
ko02010,PA0313
ko02010,PA0314
NA,PA0315
ko00260,PA0316
ko00630,PA0317
NA,PA0318
NA,PA0319
NA,PA0320
NA,PA0321
NA,PA0322
ko02010,PA0323
ko02010,PA0324
ko02010,PA0325
ko02010,PA0326
NA,PA0327
NA,PA0328
NA,PA0329
ko00030,PA0330
ko00260,PA0331
NA,PA0332
NA,PA0333
NA,PA0334
NA,PA0335
ko03018,PA0336
ko02060,PA0337
NA,PA0338
NA,PA0339
NA,PA0340
NA,PA0341
ko00240,PA0342
NA,PA0343
NA,PA0344
NA,PA0345
NA,PA0346
ko00564,PA0347
NA,PA0348
NA,PA0349
ko00670,PA0350
NA,PA0351
NA,PA0352
ko00290,PA0353
NA,PA0354
NA,PA0355
NA,PA0356
ko03410,PA0357
NA,PA0358
NA,PA0359
NA,PA0360
ko00430,PA0361
NA,PA0362
ko00770,PA0363
NA,PA0364
NA,PA0365
NA,PA0366
NA,PA0367
NA,PA0368
NA,PA0370
NA,PA0371
NA,PA0372
ko02024,PA0373
ko02010,PA0374
ko02010,PA0375
NA,PA0376
NA,PA0377
ko00550,PA0378
NA,PA0379
ko04122,PA0380
ko00730,PA0381
NA,PA0382
NA,PA0383
NA,PA0384
NA,PA0385
NA,PA0386
ko00230,PA0387
NA,PA0388
NA,PA0389
ko00270,PA0390
NA,PA0391
NA,PA0392
ko00330,PA0393
NA,PA0394
NA,PA0395
NA,PA0396
NA,PA0397
NA,PA0398
ko00260,PA0399
ko00260,PA0400
ko00230,PA0401
ko00240,PA0402
ko00240,PA0403
NA,PA0404
NA,PA0405
NA,PA0406
ko00270,PA0407
ko02020,PA0408
ko02020,PA0409
ko02020,PA0410
ko02020,PA0411
ko02020,PA0412
ko02020,PA0413
ko02020,PA0414
ko02020,PA0415
NA,PA0416
NA,PA0417
NA,PA0418
NA,PA0419
ko00780,PA0420
ko00260,PA0421
NA,PA0422
NA,PA0423
ko01501,PA0424
ko01501,PA0425
ko01501,PA0426
ko01501,PA0427
ko03018,PA0428
NA,PA0429
ko00670,PA0430
ko00230,PA0431
ko00270,PA0432
NA,PA0433
NA,PA0434
NA,PA0435
NA,PA0436
ko00240,PA0437
NA,PA0438
ko00240,PA0439
ko00240,PA0440
ko00240,PA0441
NA,PA0443
ko00240,PA0444
NA,PA0445
NA,PA0446
ko00071,PA0447
NA,PA0448
NA,PA0449
NA,PA0450
NA,PA0451
NA,PA0452
NA,PA0454
NA,PA0455
NA,PA0456
NA,PA0457
NA,PA0458
ko01100,PA0459
NA,PA0460
NA,PA0461
NA,PA0462
ko02020,PA0463
ko02020,PA0464
NA,PA0465
NA,PA0466
NA,PA0467
NA,PA0468
NA,PA0469
NA,PA0470
NA,PA0471
NA,PA0472
NA,PA0473
NA,PA0474
NA,PA0475
NA,PA0476
NA,PA0477
ko00330,PA0478
NA,PA0479
ko00362,PA0480
ko00620,PA0482
NA,PA0483
NA,PA0484
NA,PA0485
NA,PA0486
NA,PA0487
NA,PA0488
NA,PA0489
NA,PA0490
NA,PA0491
NA,PA0492
NA,PA0493
ko00061,PA0494
NA,PA0495
NA,PA0496
NA,PA0497
NA,PA0498
NA,PA0499
ko00780,PA0500
ko00780,PA0501
ko00780,PA0502
ko00780,PA0503
ko00780,PA0504
NA,PA0505
NA,PA0506
NA,PA0507
NA,PA0508
NA,PA0509
ko00860,PA0510
NA,PA0511
NA,PA0512
NA,PA0513
NA,PA0514
NA,PA0515
NA,PA0516
NA,PA0517
ko00920,PA0518
ko00910,PA0519
NA,PA0520
ko00190,PA0521
NA,PA0522
ko00910,PA0523
ko00910,PA0524
NA,PA0525
NA,PA0526
NA,PA0527
NA,PA0528
NA,PA0529
ko00220,PA0530
ko00230,PA0531
NA,PA0533
ko00330,PA0534
NA,PA0535
NA,PA0536
NA,PA0537
NA,PA0538
NA,PA0539
NA,PA0540
NA,PA0541
NA,PA0542
NA,PA0543
NA,PA0544
NA,PA0545
ko00270,PA0546
NA,PA0547
ko00030,PA0548
NA,PA0549
ko00630,PA0550
ko00010,PA0551
ko00010,PA0552
NA,PA0553
NA,PA0554
ko00010,PA0555
NA,PA0556
NA,PA0557
NA,PA0558
NA,PA0559
NA,PA0560
NA,PA0562
NA,PA0563
NA,PA0564
NA,PA0565
NA,PA0566
NA,PA0567
NA,PA0568
NA,PA0569
NA,PA0570
NA,PA0571
NA,PA0572
NA,PA0573
NA,PA0574
NA,PA0575
NA,PA0576
ko03030,PA0577
NA,PA0578
ko03010,PA0579
NA,PA0580
ko00561,PA0581
ko00790,PA0582
ko00790,PA0583
ko03013,PA0584
NA,PA0585
NA,PA0586
NA,PA0587
NA,PA0588
ko00920,PA0589
ko00230,PA0590
NA,PA0591
NA,PA0592
ko00750,PA0593
NA,PA0594
NA,PA0595
ko00520,PA0596
ko00051,PA0597
NA,PA0598
NA,PA0599
ko02020,PA0600
ko02020,PA0601
ko02024,PA0602
ko02010,PA0603
ko02024,PA0604
ko02024,PA0605
ko02024,PA0606
ko00030,PA0607
ko00630,PA0608
ko00400,PA0609
NA,PA0610
NA,PA0611
NA,PA0612
NA,PA0613
NA,PA0614
NA,PA0615
NA,PA0616
NA,PA0617
NA,PA0618
NA,PA0619
NA,PA0620
NA,PA0621
NA,PA0622
NA,PA0623
NA,PA0624
NA,PA0625
NA,PA0626
NA,PA0627
NA,PA0628
NA,PA0629
NA,PA0630
NA,PA0631
NA,PA0633
NA,PA0634
NA,PA0635
NA,PA0636
NA,PA0637
NA,PA0638
NA,PA0639
NA,PA0640
NA,PA0641
NA,PA0643
NA,PA0646
NA,PA0647
ko00400,PA0649
ko00400,PA0650
ko00400,PA0651
ko02020,PA0652
NA,PA0653
ko00270,PA0654
ko00130,PA0655
NA,PA0656
NA,PA0657
NA,PA0658
NA,PA0659
ko00910,PA0660
NA,PA0661
ko00220,PA0662
NA,PA0663
NA,PA0664
NA,PA0665
NA,PA0666
NA,PA0667
ko00970,PA0668
NA,PA0669
NA,PA0670
NA,PA0671
ko00860,PA0672
NA,PA0673
NA,PA0674
NA,PA0675
NA,PA0676
ko03070,PA0677
ko03070,PA0678
ko03070,PA0679
ko03070,PA0680
ko03070,PA0681
ko03070,PA0682
ko03070,PA0683
ko03070,PA0684
ko03070,PA0685
ko03070,PA0686
ko03070,PA0687
NA,PA0688
NA,PA0689
NA,PA0690
NA,PA0691
NA,PA0692
NA,PA0693
NA,PA0694
NA,PA0695
NA,PA0696
NA,PA0697
NA,PA0698
NA,PA0699
NA,PA0701
NA,PA0702
NA,PA0703
ko00330,PA0704
NA,PA0705
NA,PA0706
NA,PA0708
ko02024,PA0709
ko00620,PA0710
NA,PA0711
NA,PA0712
NA,PA0713
NA,PA0715
NA,PA0716
NA,PA0718
NA,PA0720
NA,PA0722
NA,PA0724
NA,PA0725
NA,PA0726
NA,PA0727
NA,PA0728
NA,PA0729
ko02024,PA0730
NA,PA0731
NA,PA0732
NA,PA0733
NA,PA0734
NA,PA0735
NA,PA0736
NA,PA0738
NA,PA0739
NA,PA0740
NA,PA0741
NA,PA0742
ko00280,PA0743
NA,PA0744
NA,PA0745
ko00071,PA0746
ko00280,PA0747
ko01502,PA0749
ko03410,PA0750
NA,PA0751
ko02020,PA0752
ko02020,PA0753
ko02020,PA0754
NA,PA0755
ko02020,PA0756
ko02020,PA0757
ko00220,PA0758
NA,PA0759
NA,PA0760
ko00250,PA0761
NA,PA0762
NA,PA0763
NA,PA0764
NA,PA0765
ko01503,PA0766
ko05134,PA0767
ko02024,PA0768
NA,PA0769
ko03008,PA0770
NA,PA0771
ko03440,PA0772
ko00750,PA0773
NA,PA0774
NA,PA0775
NA,PA0776
NA,PA0777
ko05143,PA0778
ko04112,PA0779
NA,PA0780
NA,PA0781
ko00250,PA0782
NA,PA0783
ko02026,PA0784
NA,PA0785
NA,PA0786
NA,PA0787
NA,PA0788
NA,PA0789
NA,PA0790
NA,PA0791
ko00640,PA0792
ko00640,PA0793
ko00020,PA0794
ko00640,PA0795
ko00640,PA0796
NA,PA0797
NA,PA0798
NA,PA0799
NA,PA0800
NA,PA0801
NA,PA0802
NA,PA0803
NA,PA0804
NA,PA0805
NA,PA0806
ko00550,PA0807
NA,PA0808
NA,PA0809
ko00361,PA0810
NA,PA0811
NA,PA0812
NA,PA0813
NA,PA0814
NA,PA0815
NA,PA0816
NA,PA0817
NA,PA0820
NA,PA0821
NA,PA0822
NA,PA0823
NA,PA0824
NA,PA0825
NA,PA0827
NA,PA0828
NA,PA0829
NA,PA0830
NA,PA0831
ko00620,PA0832
NA,PA0833
NA,PA0834
ko00430,PA0835
ko00430,PA0836
NA,PA0837
ko00480,PA0838
NA,PA0839
NA,PA0840
NA,PA0841
NA,PA0842
ko00562,PA0844
ko00600,PA0845
NA,PA0846
NA,PA0847
ko04214,PA0848
ko00030,PA0849
NA,PA0850
ko00260,PA0851
ko05110,PA0852
NA,PA0853
ko00020,PA0854
NA,PA0855
NA,PA0856
NA,PA0857
NA,PA0858
NA,PA0859
NA,PA0860
NA,PA0861
NA,PA0862
NA,PA0863
NA,PA0864
ko00130,PA0865
NA,PA0866
NA,PA0867
NA,PA0868
NA,PA0869
ko00220,PA0870
ko00790,PA0871
ko00360,PA0872
NA,PA0873
NA,PA0874
NA,PA0875
NA,PA0876
NA,PA0877
ko00660,PA0878
ko00071,PA0879
NA,PA0880
NA,PA0881
ko00660,PA0882
ko00660,PA0883
ko02020,PA0884
ko02020,PA0885
ko02020,PA0886
ko00010,PA0887
ko02010,PA0888
ko02010,PA0889
ko02010,PA0890
NA,PA0891
ko02010,PA0892
NA,PA0893
NA,PA0894
ko00220,PA0895
ko00330,PA0896
ko00330,PA0897
ko00330,PA0898
ko00330,PA0899
NA,PA0900
ko00330,PA0901
ko00260,PA0902
ko00970,PA0903
ko00260,PA0904
ko02020,PA0905
NA,PA0906
NA,PA0907
NA,PA0908
NA,PA0909
NA,PA0912
NA,PA0913
NA,PA0914
NA,PA0915
NA,PA0916
NA,PA0917
NA,PA0918
NA,PA0919
ko01503,PA0920
NA,PA0922
NA,PA0923
NA,PA0924
NA,PA0925
NA,PA0926
ko00620,PA0927
ko02020,PA0928
ko02020,PA0929
ko02020,PA0930
ko02020,PA0931
ko00270,PA0932
NA,PA0933
ko00230,PA0934
ko00230,PA0935
NA,PA0936
NA,PA0937
NA,PA0938
NA,PA0939
NA,PA0940
NA,PA0941
NA,PA0942
NA,PA0943
ko00230,PA0944
ko00230,PA0945
NA,PA0946
NA,PA0947
NA,PA0948
ko00130,PA0949
NA,PA0950
NA,PA0951
NA,PA0952
NA,PA0953
ko00620,PA0954
NA,PA0955
ko00970,PA0956
NA,PA0957
ko01501,PA0958
NA,PA0959
NA,PA0960
NA,PA0961
NA,PA0962
ko00970,PA0963
NA,PA0964
ko03440,PA0965
ko03440,PA0966
ko03440,PA0967
ko00130,PA0968
ko01120,PA0969
NA,PA0970
NA,PA0971
NA,PA0972
NA,PA0973
NA,PA0974
ko00790,PA0975
ko00790,PA0976
NA,PA0978
NA,PA0979
NA,PA0982
NA,PA0983
NA,PA0985
NA,PA0986
NA,PA0987
NA,PA0988
NA,PA0989
NA,PA0990
NA,PA0991
NA,PA0992
NA,PA0993
ko05133,PA0994
NA,PA0995
ko00010,PA0996
ko00405,PA0997
ko00405,PA0998
ko00405,PA0999
ko00405,PA1000
ko00400,PA1001
ko00400,PA1002
ko02024,PA1003
ko00760,PA1004
NA,PA1005
ko04122,PA1006
NA,PA1007
NA,PA1008
ko02026,PA1009
ko00261,PA1010
NA,PA1011
NA,PA1012
ko00230,PA1013
NA,PA1014
NA,PA1015
NA,PA1016
NA,PA1017
NA,PA1018
NA,PA1019
NA,PA1020
NA,PA1021
NA,PA1022
NA,PA1023
ko00910,PA1024
ko01501,PA1025
NA,PA1026
ko00010,PA1027
NA,PA1028
NA,PA1030
NA,PA1031
ko00311,PA1032
NA,PA1033
NA,PA1034
NA,PA1035
NA,PA1036
NA,PA1037
NA,PA1038
NA,PA1039
NA,PA1040
NA,PA1041
NA,PA1042
NA,PA1043
NA,PA1044
NA,PA1045
NA,PA1046
NA,PA1047
NA,PA1048
ko00750,PA1049
NA,PA1050
NA,PA1051
ko00260,PA1052
NA,PA1053
ko00190,PA1054
ko00190,PA1055
ko00190,PA1056
NA,PA1057
NA,PA1058
NA,PA1059
NA,PA1060
ko00270,PA1061
NA,PA1062
NA,PA1063
NA,PA1064
NA,PA1065
NA,PA1066
NA,PA1067
ko04141,PA1068
NA,PA1069
ko02010,PA1070
ko02010,PA1071
ko02010,PA1072
ko02010,PA1073
ko02010,PA1074
NA,PA1075
NA,PA1076
ko02040,PA1077
ko02040,PA1078
ko02040,PA1079
ko02040,PA1080
ko02040,PA1081
ko02040,PA1082
ko02040,PA1083
ko02040,PA1084
NA,PA1085
ko02040,PA1086
ko02040,PA1087
NA,PA1088
ko00260,PA1089
NA,PA1090
NA,PA1091
ko02020,PA1092
NA,PA1093
ko02040,PA1094
ko02040,PA1095
NA,PA1096
ko02020,PA1097
ko02020,PA1098
ko02020,PA1099
ko02040,PA1100
ko02040,PA1101
ko02030,PA1102
ko02040,PA1103
ko02040,PA1104
ko02040,PA1105
NA,PA1106
ko02025,PA1107
NA,PA1108
NA,PA1109
NA,PA1110
NA,PA1111
NA,PA1112
ko02010,PA1113
NA,PA1114
NA,PA1115
NA,PA1116
NA,PA1117
NA,PA1118
NA,PA1119
ko02025,PA1120
NA,PA1121
NA,PA1123
ko00230,PA1124
NA,PA1125
NA,PA1126
ko00640,PA1127
NA,PA1128
NA,PA1129
ko02024,PA1130
NA,PA1131
NA,PA1132
NA,PA1133
NA,PA1134
ko00620,PA1135
ko02020,PA1136
NA,PA1137
NA,PA1138
NA,PA1139
ko00230,PA1140
NA,PA1141
NA,PA1142
NA,PA1143
ko02020,PA1144
NA,PA1145
ko00010,PA1146
NA,PA1147
NA,PA1148
NA,PA1149
NA,PA1150
NA,PA1151
NA,PA1152
NA,PA1153
NA,PA1154
ko00230,PA1155
ko00230,PA1156
ko02020,PA1157
ko02020,PA1158
NA,PA1159
NA,PA1160
NA,PA1161
ko00300,PA1162
NA,PA1163
NA,PA1164
ko01053,PA1165
NA,PA1166
NA,PA1167
NA,PA1168
ko00590,PA1169
NA,PA1170
ko00010,PA1171
ko02020,PA1172
ko00910,PA1173
ko00910,PA1174
NA,PA1175
NA,PA1176
NA,PA1177
NA,PA1178
ko01503,PA1179
ko01503,PA1180
ko02026,PA1181
NA,PA1182
ko02020,PA1183
ko02026,PA1184
NA,PA1185
NA,PA1186
ko00071,PA1187
NA,PA1188
NA,PA1189
NA,PA1190
NA,PA1191
NA,PA1192
NA,PA1193
NA,PA1194
NA,PA1195
NA,PA1196
NA,PA1197
NA,PA1198
NA,PA1199
ko00360,PA1200
NA,PA1201
NA,PA1202
NA,PA1203
NA,PA1204
NA,PA1205
NA,PA1206
NA,PA1207
NA,PA1208
NA,PA1209
NA,PA1210
ko00330,PA1211
NA,PA1212
NA,PA1213
NA,PA1214
NA,PA1215
NA,PA1216
ko00290,PA1217
NA,PA1218
NA,PA1219
NA,PA1220
NA,PA1221
NA,PA1222
NA,PA1223
ko00130,PA1224
ko00130,PA1225
NA,PA1226
NA,PA1227
NA,PA1229
NA,PA1230
NA,PA1231
NA,PA1232
NA,PA1233
NA,PA1234
NA,PA1235
NA,PA1236
NA,PA1237
NA,PA1238
NA,PA1239
NA,PA1240
NA,PA1241
NA,PA1242
NA,PA1243
NA,PA1244
NA,PA1245
ko02010,PA1246
NA,PA1247
NA,PA1248
ko01503,PA1249
NA,PA1250
ko02020,PA1251
ko00270,PA1252
ko00040,PA1253
ko00261,PA1254
NA,PA1255
ko02010,PA1256
NA,PA1257
NA,PA1258
NA,PA1259
NA,PA1260
NA,PA1261
NA,PA1262
NA,PA1263
NA,PA1264
NA,PA1265
NA,PA1266
ko00330,PA1267
ko00330,PA1268
NA,PA1269
NA,PA1270
NA,PA1271
ko00860,PA1272
ko00860,PA1273
ko00740,PA1274
ko00860,PA1275
ko00340,PA1276
ko00860,PA1277
ko00860,PA1278
ko00860,PA1279
ko00010,PA1280
ko00860,PA1281
NA,PA1282
NA,PA1283
NA,PA1284
NA,PA1285
NA,PA1286
ko00480,PA1287
NA,PA1288
NA,PA1289
NA,PA1290
NA,PA1291
ko00270,PA1292
NA,PA1293
NA,PA1294
NA,PA1295
NA,PA1296
NA,PA1297
NA,PA1298
NA,PA1299
NA,PA1300
NA,PA1301
NA,PA1302
ko02024,PA1303
ko05142,PA1304
NA,PA1305
NA,PA1306
NA,PA1307
NA,PA1308
NA,PA1309
ko00230,PA1310
ko00440,PA1311
NA,PA1312
NA,PA1313
NA,PA1314
NA,PA1315
NA,PA1316
ko00190,PA1317
ko00190,PA1318
ko00190,PA1319
ko00190,PA1320
ko00190,PA1321
NA,PA1322
NA,PA1323
NA,PA1324
NA,PA1325
ko00260,PA1326
ko04210,PA1327
NA,PA1328
NA,PA1329
NA,PA1330
NA,PA1331
ko00633,PA1334
ko02020,PA1335
ko02020,PA1336
ko00220,PA1337
ko00430,PA1338
ko02010,PA1339
ko02010,PA1340
ko02010,PA1341
ko02010,PA1342
NA,PA1343
NA,PA1344
NA,PA1345
ko00330,PA1346
NA,PA1347
NA,PA1349
NA,PA1350
NA,PA1351
NA,PA1352
NA,PA1353
NA,PA1354
NA,PA1355
NA,PA1356
NA,PA1357
NA,PA1358
NA,PA1359
NA,PA1360
NA,PA1361
NA,PA1363
NA,PA1364
NA,PA1365
NA,PA1366
NA,PA1367
NA,PA1368
NA,PA1370
NA,PA1372
ko00061,PA1373
NA,PA1374
ko00750,PA1375
NA,PA1376
NA,PA1377
NA,PA1379
NA,PA1380
ko03070,PA1382
NA,PA1383
ko00052,PA1384
ko02025,PA1385
ko02010,PA1386
NA,PA1387
NA,PA1388
NA,PA1389
NA,PA1390
NA,PA1391
NA,PA1392
ko00230,PA1393
NA,PA1395
NA,PA1396
NA,PA1397
NA,PA1399
NA,PA1400
NA,PA1401
NA,PA1402
NA,PA1403
NA,PA1404
NA,PA1405
NA,PA1406
NA,PA1407
NA,PA1408
NA,PA1409
ko02010,PA1410
NA,PA1411
NA,PA1412
NA,PA1413
NA,PA1414
NA,PA1415
ko00630,PA1416
ko00290,PA1417
NA,PA1418
NA,PA1419
NA,PA1420
ko00330,PA1421
NA,PA1422
ko02020,PA1423
NA,PA1424
NA,PA1425
NA,PA1428
NA,PA1429
ko02024,PA1430
NA,PA1431
ko00270,PA1432
NA,PA1433
NA,PA1434
NA,PA1435
NA,PA1436
ko02020,PA1437
ko02020,PA1438
NA,PA1439
NA,PA1440
ko02040,PA1441
NA,PA1442
ko02030,PA1443
ko02030,PA1444
