KEGG,gene_names
ko02040,PA1445
ko02040,PA1446
ko02040,PA1447
ko02040,PA1448
ko02040,PA1449
NA,PA1450
NA,PA1451
ko02040,PA1452
NA,PA1453
NA,PA1454
ko02020,PA1455
ko02020,PA1456
ko02030,PA1457
ko02020,PA1458
ko02020,PA1459
ko02020,PA1460
ko02030,PA1461
NA,PA1462
ko02020,PA1463
ko02020,PA1464
NA,PA1465
ko00480,PA1466
NA,PA1467
NA,PA1468
NA,PA1469
ko00061,PA1470
NA,PA1471
NA,PA1472
NA,PA1473
NA,PA1474
ko02010,PA1475
ko02010,PA1476
ko02010,PA1477
ko02010,PA1478
NA,PA1479
NA,PA1480
NA,PA1481
NA,PA1482
NA,PA1483
NA,PA1484
NA,PA1485
NA,PA1486
ko00561,PA1487
NA,PA1488
ko00564,PA1489
NA,PA1490
NA,PA1491
NA,PA1492
ko00920,PA1493
NA,PA1494
NA,PA1495
NA,PA1496
NA,PA1497
ko00010,PA1498
ko00030,PA1499
ko00630,PA1500
ko00630,PA1501
ko00630,PA1502
NA,PA1503
NA,PA1504
ko00790,PA1505
NA,PA1506
NA,PA1507
NA,PA1508
NA,PA1509
NA,PA1510
ko03070,PA1511
ko02025,PA1512
NA,PA1513
ko00230,PA1514
ko00230,PA1515
NA,PA1516
ko00230,PA1517
ko00230,PA1518
NA,PA1519
NA,PA1520
ko00230,PA1521
NA,PA1522
ko00230,PA1523
ko00230,PA1524
ko00071,PA1525
NA,PA1526
NA,PA1527
NA,PA1528
ko03030,PA1529
NA,PA1530
NA,PA1531
ko00230,PA1532
NA,PA1533
ko03440,PA1534
ko00071,PA1535
NA,PA1536
ko00071,PA1537
ko00930,PA1538
NA,PA1539
NA,PA1540
NA,PA1541
NA,PA1542
ko00230,PA1543
NA,PA1544
NA,PA1545
ko00860,PA1546
NA,PA1547
NA,PA1548
NA,PA1549
NA,PA1550
NA,PA1551
ko00190,PA1552
ko00190,PA1553
ko00190,PA1554
ko00190,PA1555
ko00190,PA1556
ko00190,PA1557
NA,PA1558
NA,PA1560
ko02020,PA1561
ko00020,PA1562
NA,PA1563
ko04122,PA1564
NA,PA1565
ko00220,PA1566
NA,PA1567
NA,PA1568
ko02020,PA1569
NA,PA1570
NA,PA1571
NA,PA1572
NA,PA1573
ko00230,PA1574
NA,PA1575
ko00280,PA1576
NA,PA1577
NA,PA1578
NA,PA1579
ko00020,PA1580
ko00020,PA1581
ko00020,PA1582
ko00020,PA1583
ko00020,PA1584
ko00020,PA1585
ko00020,PA1586
ko00010,PA1587
ko00020,PA1588
ko00020,PA1589
NA,PA1590
NA,PA1591
NA,PA1593
NA,PA1594
NA,PA1595
ko04141,PA1596
NA,PA1597
ko00770,PA1598
NA,PA1599
NA,PA1600
NA,PA1601
ko00760,PA1602
NA,PA1603
NA,PA1604
NA,PA1605
NA,PA1606
NA,PA1607
ko02020,PA1608
ko00061,PA1609
ko00061,PA1610
ko02020,PA1611
NA,PA1612
NA,PA1613
ko00564,PA1614
NA,PA1615
NA,PA1616
NA,PA1617
ko00130,PA1618
NA,PA1619
NA,PA1620
NA,PA1621
NA,PA1622
NA,PA1623
NA,PA1624
NA,PA1625
NA,PA1626
NA,PA1627
ko00360,PA1628
ko00071,PA1629
NA,PA1630
ko00930,PA1631
ko02020,PA1633
ko02020,PA1634
ko02020,PA1635
ko02020,PA1636
ko02020,PA1637
ko00220,PA1638
NA,PA1639
NA,PA1640
NA,PA1641
ko00450,PA1642
NA,PA1643
NA,PA1644
NA,PA1645
ko02020,PA1646
NA,PA1647
NA,PA1648
NA,PA1649
NA,PA1650
NA,PA1651
NA,PA1652
NA,PA1653
NA,PA1654
ko00480,PA1655
NA,PA1656
ko02025,PA1657
ko02025,PA1658
NA,PA1659
NA,PA1660
ko02025,PA1661
ko02025,PA1662
NA,PA1663
NA,PA1664
NA,PA1665
ko03070,PA1666
ko02025,PA1667
ko03070,PA1668
ko02025,PA1669
ko02025,PA1670
NA,PA1671
NA,PA1672
NA,PA1673
ko00790,PA1674
NA,PA1675
NA,PA1676
NA,PA1677
NA,PA1678
NA,PA1679
NA,PA1680
ko00400,PA1681
NA,PA1682
ko00270,PA1683
ko00270,PA1684
ko00270,PA1685
ko03410,PA1686
ko00270,PA1687
NA,PA1688
NA,PA1689
ko03070,PA1690
ko03070,PA1691
ko03070,PA1692
ko03070,PA1693
ko03070,PA1694
ko03070,PA1695
ko03070,PA1696
ko03070,PA1697
ko03070,PA1698
NA,PA1699
NA,PA1700
ko03070,PA1701
NA,PA1702
ko03070,PA1703
NA,PA1704
NA,PA1705
NA,PA1706
NA,PA1707
NA,PA1708
NA,PA1709
NA,PA1710
NA,PA1712
ko02025,PA1713
NA,PA1714
NA,PA1715
ko03070,PA1716
NA,PA1717
ko03070,PA1719
NA,PA1720
NA,PA1721
NA,PA1722
ko03070,PA1723
NA,PA1724
ko03070,PA1725
ko00460,PA1726
ko02025,PA1727
NA,PA1728
NA,PA1729
NA,PA1730
NA,PA1731
NA,PA1732
NA,PA1733
NA,PA1734
NA,PA1735
ko00071,PA1736
ko00071,PA1737
NA,PA1738
NA,PA1739
NA,PA1740
NA,PA1741
ko00230,PA1742
NA,PA1743
NA,PA1745
NA,PA1746
ko00071,PA1748
NA,PA1749
ko00400,PA1750
NA,PA1751
ko00770,PA1752
NA,PA1753
NA,PA1754
NA,PA1755
ko00920,PA1756
ko00260,PA1757
ko00790,PA1758
NA,PA1759
NA,PA1760
NA,PA1761
NA,PA1762
NA,PA1763
NA,PA1764
NA,PA1765
NA,PA1766
NA,PA1767
NA,PA1768
NA,PA1769
ko00620,PA1770
NA,PA1771
NA,PA1772
NA,PA1773
NA,PA1774
NA,PA1775
NA,PA1776
NA,PA1777
ko00860,PA1778
ko00910,PA1779
ko00910,PA1780
ko00071,PA1781
NA,PA1782
ko00910,PA1783
ko00051,PA1784
NA,PA1785
ko00910,PA1786
ko00020,PA1787
NA,PA1788
NA,PA1789
NA,PA1790
NA,PA1791
ko00540,PA1792
NA,PA1793
ko00970,PA1794
ko00970,PA1795
ko00670,PA1796
NA,PA1797
ko01501,PA1798
ko01501,PA1799
NA,PA1800
ko04112,PA1801
ko04112,PA1802
ko04112,PA1803
NA,PA1804
NA,PA1805
ko00061,PA1806
ko02010,PA1807
ko02010,PA1808
ko02010,PA1809
ko02010,PA1810
ko02010,PA1811
NA,PA1812
ko00620,PA1813
NA,PA1814
ko03030,PA1815
ko00230,PA1816
NA,PA1817
ko00310,PA1818
NA,PA1819
NA,PA1820
ko00071,PA1821
NA,PA1822
ko00760,PA1823
NA,PA1824
NA,PA1825
NA,PA1826
ko00061,PA1827
NA,PA1828
NA,PA1829
NA,PA1830
NA,PA1831
NA,PA1832
ko00010,PA1833
NA,PA1835
NA,PA1836
NA,PA1837
ko00920,PA1838
NA,PA1839
NA,PA1840
NA,PA1841
NA,PA1842
ko00270,PA1843
NA,PA1844
NA,PA1845
NA,PA1846
NA,PA1847
NA,PA1848
NA,PA1849
NA,PA1850
NA,PA1851
NA,PA1852
NA,PA1853
NA,PA1854
ko00190,PA1856
NA,PA1857
NA,PA1858
NA,PA1859
NA,PA1860
ko02010,PA1861
ko02010,PA1862
ko02010,PA1863
NA,PA1864
NA,PA1865
ko03022,PA1866
ko03070,PA1867
ko03070,PA1868
NA,PA1869
NA,PA1870
ko02024,PA1871
NA,PA1872
NA,PA1873
ko02024,PA1874
NA,PA1875
ko02010,PA1876
NA,PA1877
NA,PA1878
NA,PA1879
NA,PA1880
ko00760,PA1881
NA,PA1882
ko00190,PA1883
NA,PA1884
NA,PA1885
NA,PA1886
NA,PA1889
ko00480,PA1890
NA,PA1892
ko00311,PA1893
NA,PA1894
NA,PA1895
NA,PA1896
NA,PA1897
ko02020,PA1898
ko00405,PA1899
ko00405,PA1900
ko00400,PA1901
ko00405,PA1902
ko00405,PA1903
ko00405,PA1904
ko00405,PA1905
NA,PA1906
NA,PA1907
NA,PA1908
NA,PA1909
NA,PA1910
NA,PA1911
NA,PA1912
NA,PA1913
NA,PA1914
NA,PA1915
NA,PA1916
NA,PA1917
NA,PA1918
NA,PA1919
ko00230,PA1920
NA,PA1921
ko02020,PA1922
ko00860,PA1923
NA,PA1924
NA,PA1925
NA,PA1926
ko00270,PA1927
NA,PA1928
NA,PA1929
ko02020,PA1930
ko00230,PA1931
ko00230,PA1932
ko00230,PA1933
NA,PA1934
ko03420,PA1935
NA,PA1937
NA,PA1938
NA,PA1939
NA,PA1940
NA,PA1941
NA,PA1942
NA,PA1943
NA,PA1944
NA,PA1945
ko02010,PA1946
ko02010,PA1947
ko02010,PA1948
NA,PA1949
ko00030,PA1950
NA,PA1951
NA,PA1952
NA,PA1953
NA,PA1954
NA,PA1955
NA,PA1956
NA,PA1957
NA,PA1958
ko00550,PA1959
NA,PA1960
NA,PA1961
NA,PA1962
NA,PA1964
ko00350,PA1966
NA,PA1967
NA,PA1968
NA,PA1969
NA,PA1971
ko00540,PA1972
NA,PA1973
NA,PA1974
NA,PA1975
ko02020,PA1976
NA,PA1977
ko02020,PA1978
ko02020,PA1979
NA,PA1980
NA,PA1981
ko00010,PA1982
NA,PA1983
ko00010,PA1984
NA,PA1986
NA,PA1987
NA,PA1988
NA,PA1989
NA,PA1990
NA,PA1991
NA,PA1992
NA,PA1993
NA,PA1994
NA,PA1995
NA,PA1996
ko00280,PA1997
NA,PA1998
ko00072,PA1999
ko00072,PA2000
ko00071,PA2001
ko02020,PA2002
ko00072,PA2003
NA,PA2004
NA,PA2005
NA,PA2006
ko00350,PA2007
ko00350,PA2008
ko00350,PA2009
NA,PA2010
ko00072,PA2011
ko00280,PA2012
ko00280,PA2013
ko00280,PA2014
ko00280,PA2015
NA,PA2016
NA,PA2017
ko01501,PA2018
ko01501,PA2019
ko01501,PA2020
NA,PA2021
ko00040,PA2022
ko00040,PA2023
NA,PA2024
ko00480,PA2025
NA,PA2026
NA,PA2027
NA,PA2028
NA,PA2029
NA,PA2032
NA,PA2033
NA,PA2034
ko00290,PA2035
NA,PA2037
NA,PA2038
NA,PA2039
ko00220,PA2040
NA,PA2041
NA,PA2042
NA,PA2043
NA,PA2044
NA,PA2045
NA,PA2047
NA,PA2048
NA,PA2049
NA,PA2050
NA,PA2051
ko00910,PA2052
ko00910,PA2053
NA,PA2054
NA,PA2055
NA,PA2056
NA,PA2057
ko02010,PA2058
ko02010,PA2059
ko02010,PA2060
ko01501,PA2061
ko00730,PA2062
NA,PA2063
NA,PA2064
NA,PA2065
NA,PA2066
NA,PA2067
ko00330,PA2068
NA,PA2069
NA,PA2070
NA,PA2071
NA,PA2072
NA,PA2073
NA,PA2074
NA,PA2075
NA,PA2076
NA,PA2077
NA,PA2078
NA,PA2079
ko00380,PA2080
ko00380,PA2081
NA,PA2082
NA,PA2083
ko00250,PA2084
ko00360,PA2085
ko00361,PA2086
NA,PA2087
NA,PA2088
NA,PA2089
NA,PA2090
NA,PA2091
NA,PA2092
NA,PA2093
NA,PA2094
NA,PA2095
NA,PA2096
NA,PA2097
ko00903,PA2098
NA,PA2099
NA,PA2100
NA,PA2101
NA,PA2102
ko04122,PA2103
ko00270,PA2104
ko00270,PA2105
NA,PA2106
ko00620,PA2108
NA,PA2109
ko00220,PA2110
NA,PA2111
NA,PA2112
NA,PA2113
NA,PA2114
NA,PA2115
NA,PA2116
NA,PA2117
NA,PA2118
ko00640,PA2119
NA,PA2120
NA,PA2121
NA,PA2122
NA,PA2123
ko00260,PA2124
NA,PA2125
NA,PA2126
NA,PA2127
ko05133,PA2128
NA,PA2129
ko05133,PA2130
NA,PA2131
NA,PA2132
NA,PA2133
NA,PA2134
NA,PA2135
NA,PA2136
NA,PA2137
ko03450,PA2138
NA,PA2140
NA,PA2141
NA,PA2142
NA,PA2143
ko00500,PA2144
NA,PA2145
NA,PA2146
ko00380,PA2147
NA,PA2148
NA,PA2149
ko03450,PA2150
ko00500,PA2151
ko00500,PA2152
ko00500,PA2153
NA,PA2154
ko00564,PA2155
NA,PA2156
NA,PA2157
NA,PA2158
NA,PA2159
ko00500,PA2160
NA,PA2161
ko00500,PA2162
ko00500,PA2163
ko00500,PA2164
ko00500,PA2165
NA,PA2166
NA,PA2167
NA,PA2168
NA,PA2169
NA,PA2170
NA,PA2171
NA,PA2172
NA,PA2173
NA,PA2175
NA,PA2176
NA,PA2177
NA,PA2178
NA,PA2179
NA,PA2180
NA,PA2181
NA,PA2183
NA,PA2184
NA,PA2185
NA,PA2187
NA,PA2188
NA,PA2189
NA,PA2190
NA,PA2191
NA,PA2192
ko00460,PA2193
NA,PA2194
ko00460,PA2195
NA,PA2196
NA,PA2197
NA,PA2198
NA,PA2199
NA,PA2200
NA,PA2201
NA,PA2202
NA,PA2203
NA,PA2204
NA,PA2205
NA,PA2206
ko02020,PA2207
NA,PA2208
NA,PA2209
NA,PA2210
NA,PA2211
ko00750,PA2212
NA,PA2213
NA,PA2214
NA,PA2215
NA,PA2216
ko00040,PA2217
NA,PA2218
NA,PA2219
NA,PA2220
NA,PA2221
ko00680,PA2223
NA,PA2227
NA,PA2228
NA,PA2229
NA,PA2230
ko02025,PA2231
ko00051,PA2232
ko02025,PA2233
ko02025,PA2234
ko02025,PA2235
ko02025,PA2236
ko02025,PA2237
ko02025,PA2238
ko02025,PA2239
ko02025,PA2240
ko02025,PA2241
ko02025,PA2242
ko00020,PA2243
NA,PA2244
NA,PA2246
ko00280,PA2247
ko00280,PA2248
ko00280,PA2249
ko00010,PA2250
NA,PA2251
NA,PA2252
ko00250,PA2253
NA,PA2254
NA,PA2255
ko00350,PA2256
NA,PA2257
NA,PA2258
NA,PA2259
NA,PA2260
ko00030,PA2261
NA,PA2262
ko00030,PA2263
ko00030,PA2264
ko00030,PA2265
NA,PA2266
NA,PA2267
ko00240,PA2268
NA,PA2269
NA,PA2270
NA,PA2271
ko00550,PA2272
NA,PA2273
NA,PA2274
NA,PA2275
NA,PA2276
NA,PA2277
NA,PA2278
NA,PA2279
NA,PA2280
NA,PA2281
NA,PA2282
NA,PA2283
NA,PA2285
NA,PA2286
NA,PA2289
ko00030,PA2290
NA,PA2291
NA,PA2292
NA,PA2293
ko00910,PA2294
NA,PA2295
NA,PA2296
NA,PA2297
NA,PA2298
NA,PA2299
ko00520,PA2300
NA,PA2301
ko01053,PA2302
NA,PA2303
NA,PA2304
ko01053,PA2305
NA,PA2306
NA,PA2307
NA,PA2308
NA,PA2309
ko00430,PA2310
NA,PA2311
NA,PA2312
NA,PA2313
NA,PA2314
NA,PA2315
NA,PA2316
ko00330,PA2317
NA,PA2318
NA,PA2319
NA,PA2320
ko00030,PA2321
NA,PA2322
ko00010,PA2323
NA,PA2324
NA,PA2325
NA,PA2326
ko00910,PA2327
NA,PA2328
NA,PA2329
NA,PA2330
NA,PA2331
NA,PA2332
NA,PA2333
NA,PA2334
NA,PA2335
NA,PA2336
NA,PA2337
ko02010,PA2338
ko02010,PA2339
ko02010,PA2340
ko02010,PA2341
ko00040,PA2342
ko00040,PA2343
ko00051,PA2344
ko00920,PA2345
NA,PA2346
NA,PA2347
NA,PA2348
ko02010,PA2349
ko02010,PA2350
ko02010,PA2351
ko00564,PA2352
NA,PA2353
NA,PA2354
NA,PA2355
ko00920,PA2356
ko00740,PA2357
NA,PA2359
ko02025,PA2360
ko02025,PA2361
ko03070,PA2362
ko02025,PA2363
NA,PA2364
ko02025,PA2365
ko02025,PA2366
ko02025,PA2367
NA,PA2368
NA,PA2369
ko02025,PA2370
ko02025,PA2371
ko03070,PA2373
NA,PA2374
NA,PA2375
NA,PA2376
NA,PA2377
NA,PA2378
ko00760,PA2379
NA,PA2380
ko00620,PA2382
NA,PA2383
NA,PA2384
NA,PA2385
NA,PA2386
NA,PA2387
NA,PA2388
NA,PA2389
ko02010,PA2390
NA,PA2391
NA,PA2392
NA,PA2393
ko00311,PA2394
NA,PA2395
NA,PA2396
ko02010,PA2397
NA,PA2398
NA,PA2399
NA,PA2400
NA,PA2402
NA,PA2403
NA,PA2404
NA,PA2405
NA,PA2406
ko02010,PA2407
ko02010,PA2408
ko02010,PA2409
NA,PA2410
ko00061,PA2411
ko00261,PA2412
ko00260,PA2413
NA,PA2414
NA,PA2415
ko00500,PA2416
NA,PA2417
NA,PA2418
NA,PA2419
NA,PA2420
NA,PA2421
NA,PA2423
NA,PA2424
NA,PA2425
NA,PA2426
ko00190,PA2428
NA,PA2430
NA,PA2431
NA,PA2432
NA,PA2433
NA,PA2434
NA,PA2435
NA,PA2436
NA,PA2437
NA,PA2438
NA,PA2439
NA,PA2440
ko00260,PA2442
ko00260,PA2443
ko00260,PA2444
ko00260,PA2445
ko00260,PA2446
NA,PA2447
NA,PA2448
NA,PA2449
NA,PA2450
NA,PA2452
NA,PA2453
NA,PA2454
NA,PA2455
NA,PA2457
NA,PA2458
NA,PA2459
ko05133,PA2462
ko05133,PA2463
NA,PA2464
NA,PA2465
NA,PA2466
NA,PA2467
NA,PA2468
NA,PA2469
ko00350,PA2470
ko00350,PA2471
NA,PA2472
ko00350,PA2473
NA,PA2474
NA,PA2475
NA,PA2476
NA,PA2477
NA,PA2478
ko02020,PA2479
NA,PA2480
NA,PA2481
NA,PA2482
NA,PA2483
NA,PA2484
NA,PA2487
NA,PA2488
NA,PA2489
NA,PA2490
NA,PA2491
NA,PA2492
NA,PA2493
NA,PA2494
NA,PA2495
NA,PA2496
NA,PA2497
NA,PA2498
NA,PA2499
NA,PA2500
NA,PA2501
NA,PA2502
NA,PA2503
NA,PA2504
NA,PA2505
ko00361,PA2507
ko00362,PA2508
ko00361,PA2509
NA,PA2510
NA,PA2511
ko00627,PA2512
ko00627,PA2513
ko00627,PA2514
ko00362,PA2515
ko00362,PA2516
ko00362,PA2517
ko00362,PA2518
NA,PA2519
NA,PA2520
NA,PA2521
NA,PA2522
ko02020,PA2523
ko02020,PA2524
NA,PA2525
ko02020,PA2526
ko02020,PA2527
ko02020,PA2528
NA,PA2529
NA,PA2530
ko00340,PA2531
NA,PA2532
NA,PA2533
NA,PA2534
NA,PA2535
ko00564,PA2536
NA,PA2537
NA,PA2538
NA,PA2539
NA,PA2540
ko00564,PA2541
NA,PA2542
NA,PA2543
NA,PA2544
ko03410,PA2545
NA,PA2546
NA,PA2547
ko02010,PA2548
NA,PA2549
ko00071,PA2550
NA,PA2551
NA,PA2552
ko00071,PA2553
NA,PA2554
ko00010,PA2555
NA,PA2556
NA,PA2557
NA,PA2558
NA,PA2560
ko02020,PA2561
NA,PA2562
NA,PA2563
NA,PA2564
NA,PA2565
ko00920,PA2566
ko05111,PA2567
NA,PA2568
ko02024,PA2570
NA,PA2571
NA,PA2572
ko02020,PA2573
ko00071,PA2574
NA,PA2575
NA,PA2576
NA,PA2577
NA,PA2578
ko00380,PA2579
NA,PA2580
NA,PA2581
NA,PA2582
ko02020,PA2583
ko00564,PA2584
ko03420,PA2585
ko02020,PA2586
ko00405,PA2587
NA,PA2588
NA,PA2589
NA,PA2590
NA,PA2591
ko02010,PA2592
NA,PA2593
ko00920,PA2594
ko00920,PA2595
ko00920,PA2596
NA,PA2597
ko00920,PA2598
NA,PA2599
ko00920,PA2600
NA,PA2601
NA,PA2602
NA,PA2603
NA,PA2604
ko04122,PA2605
ko04122,PA2606
ko04122,PA2607
ko04122,PA2608
NA,PA2609
NA,PA2610
ko00860,PA2611
ko00970,PA2612
NA,PA2613
NA,PA2614
NA,PA2615
ko00030,PA2616
NA,PA2617
NA,PA2618
NA,PA2619
NA,PA2620
NA,PA2621
NA,PA2622
ko00020,PA2623
ko00020,PA2624
NA,PA2625
ko04122,PA2626
NA,PA2627
NA,PA2628
ko00230,PA2629
NA,PA2630
NA,PA2631
NA,PA2632
NA,PA2633
ko00630,PA2634
NA,PA2635
NA,PA2636
ko00190,PA2637
ko00190,PA2638
ko00190,PA2639
ko00190,PA2640
ko00190,PA2641
ko00190,PA2642
ko00190,PA2643
ko00190,PA2644
ko00190,PA2645
ko00190,PA2646
ko00190,PA2647
ko00190,PA2648
ko00190,PA2649
NA,PA2650
NA,PA2651
ko02020,PA2652
NA,PA2653
ko02020,PA2654
NA,PA2656
NA,PA2657
NA,PA2658
NA,PA2659
NA,PA2660
NA,PA2661
NA,PA2662
NA,PA2663
ko05132,PA2664
ko05132,PA2665
ko00790,PA2666
NA,PA2667
NA,PA2669
NA,PA2670
ko03070,PA2671
ko02020,PA2672
ko03070,PA2673
ko03070,PA2674
ko03070,PA2675
ko03070,PA2676
ko03070,PA2677
ko02010,PA2678
NA,PA2679
NA,PA2680
NA,PA2681
ko00361,PA2682
ko00260,PA2683
NA,PA2684
ko03070,PA2685
ko02020,PA2686
ko02020,PA2687
ko02020,PA2688
NA,PA2689
NA,PA2690
ko00190,PA2691
NA,PA2692
ko01040,PA2693
ko04621,PA2694
NA,PA2695
NA,PA2696
NA,PA2697
NA,PA2698
NA,PA2699
NA,PA2700
NA,PA2701
NA,PA2702
NA,PA2703
NA,PA2704
NA,PA2705
NA,PA2706
NA,PA2707
NA,PA2708
ko00270,PA2709
NA,PA2710
ko02010,PA2711
NA,PA2712
NA,PA2713
NA,PA2714
NA,PA2715
NA,PA2716
NA,PA2717
NA,PA2718
NA,PA2719
NA,PA2720
ko00130,PA2721
NA,PA2722
NA,PA2724
NA,PA2725
NA,PA2726
NA,PA2728
NA,PA2729
NA,PA2730
NA,PA2731
NA,PA2732
NA,PA2733
NA,PA2734
NA,PA2735
NA,PA2736
NA,PA2737
NA,PA2738
ko00970,PA2739
ko00970,PA2740
ko03010,PA2741
ko03010,PA2742
NA,PA2743
ko00970,PA2744
NA,PA2745
NA,PA2747
NA,PA2748
NA,PA2749
NA,PA2750
NA,PA2751
NA,PA2752
NA,PA2753
NA,PA2754
NA,PA2755
NA,PA2756
NA,PA2757
NA,PA2758
NA,PA2760
NA,PA2761
NA,PA2762
NA,PA2764
NA,PA2765
NA,PA2766
NA,PA2767
NA,PA2768
NA,PA2769
NA,PA2770
NA,PA2771
NA,PA2773
NA,PA2774
NA,PA2775
ko00330,PA2776
NA,PA2777
NA,PA2778
NA,PA2779
NA,PA2780
NA,PA2782
NA,PA2783
NA,PA2784
NA,PA2785
NA,PA2786
NA,PA2787
ko02020,PA2788
NA,PA2789
NA,PA2790
NA,PA2793
NA,PA2795
ko00030,PA2796
NA,PA2797
NA,PA2798
NA,PA2799
NA,PA2800
NA,PA2801
NA,PA2802
NA,PA2803
NA,PA2804
NA,PA2805
ko00790,PA2806
NA,PA2807
ko02020,PA2809
ko02020,PA2810
NA,PA2811
NA,PA2812
ko00480,PA2813
NA,PA2814
ko00071,PA2815
NA,PA2817
NA,PA2818
NA,PA2820
ko00480,PA2821
ko00270,PA2822
NA,PA2823
ko02020,PA2824
NA,PA2825
ko00480,PA2826
NA,PA2827
ko00220,PA2828
NA,PA2829
NA,PA2830
NA,PA2831
ko00983,PA2832
NA,PA2833
NA,PA2834
NA,PA2835
NA,PA2836
ko01501,PA2837
NA,PA2838
ko00965,PA2839
ko03018,PA2840
NA,PA2841
ko00270,PA2842
ko00400,PA2843
NA,PA2844
NA,PA2845
NA,PA2846
NA,PA2847
NA,PA2848
NA,PA2849
NA,PA2850
NA,PA2851
NA,PA2852
NA,PA2853
ko01503,PA2854
NA,PA2855
ko01040,PA2856
NA,PA2857
NA,PA2858
NA,PA2859
NA,PA2860
NA,PA2861
ko00561,PA2862
NA,PA2863
NA,PA2864
NA,PA2865
NA,PA2866
ko02020,PA2867
NA,PA2868
NA,PA2869
NA,PA2870
NA,PA2871
NA,PA2872
NA,PA2873
NA,PA2874
NA,PA2875
ko00240,PA2876
